PARID,CHANGENOTICEADDRESS1
0010S00072000000,150 MOUNT VERNON ST STE 500
0010S00075000000,150 MOUNT VERNON ST STE 500
0010S00078000000,200 ROSS ST FL 9
0010S00101000000,200 ROSS ST FL 9
0010S00101B10100,150 MT VERNON ST 
0010S00111000000,200 ROSS ST FL 9
0010S00125000000,200 ROSS ST FL 9
0011C00100000001,200 ROSS ST FL 9
0011C00125000000,200 ROSS ST FL 9
0011C00201000000,200 ROSS ST FL 9
0011C00205000000,200 ROSS ST FL 9
0011C00210000000,200 ROSS ST FL 9
0011D00001000000,414 GRANT ST RM 200
0011D00002000000,414 GRANT ST RM 200
0011D00003000000,414 GRANT ST RM 200
0011D00004000000,414 GRANT ST RM 200
0011D00006000000,PO BOX 893598
0011D00007000000,422 CAVITT AVE 
0011D00009000000,3114 ELLERS ST 
0011D00011000000,414 GRANT ST RM 200
0011D00014000000,3114 ELLERS ST 
0011D00016000000,3124 ELLERS ST 
0011D00017000000,3292 DAWSON ST 
0011D00018000000,3124 ELLERS ST 
0011D00019000000,3142 ELLERS ST 
0011D00020000000,3134 ELLERS ST 
0011D00028000000,3153 ELLERS ST 
0011D00031000000,3149 ELLERS ST 
0011D00032000000,2621 JANE ST 
0011D00034000000,2521 JANE ST 
0011D00035000000,3135 ELLERS ST 
0011D00038000000,3129 ELLERS ST 
0011D00041000000,816 WESTERN AVE UNIT 3
0011D00042000000,816 WESTERN AVE UNIT 3
0011D00043000000,816 WESTERN AVE UNIT 3
0011D00044000000,186 RIDGEVIEW DR 
0011D00045000000,816 WESTERN AVE UNIT 3
0011D00046000000,645 FIELDCLUB RD 
0011D00047000000,16 ELLERS ST 
0011D00048000000,414 GRANT ST RM 200
0011D00051000000,414 GRANT ST RM 200
0011D00057000000,316 PARKWAY DR 
0011D00058000000,2512 ALLEQUIPPA ST 
0011D00059000000,45 LEBANON HILLS DR 
0011D00061000000,2518 ALLEQUIPPA ST 
0011D00062000000,1400 FOX CHAPEL RD 
0011D00063000000,1400 FOX CHAPEL RD 
0011D00064000000,1400 FOX CHAPEL RD 
0011D00065000000,2530 ALLEQUIPPA ST 
0011D00069000000,2532 ALLEQUIPPA ST 
0011D00072000000,2534 ALLEQUIPPA ST 
0011D00073000000,2536 ALLEQUIPPA ST 
0011D00074000000,2541 ALLEQUIPPA ST 
0011D00076000000,1047 HERITAGE LAKE DR 
0011D00078000000,105 WILLIAM ST 
0011D00081000000,1400 FOX CHAPEL RD 
0011D00083000000,1400 FOX CHAPEL RD 
0011D00088000000,6 PARKLEA DR 
0011D00089000000,1016 LAKEMONT DR 
0011D00090000000,2541 ALLEQUIPPA ST 
0011D00091000000,36 PARTRIDGE CIR 
0011D00093000000,15 OAK LANE DR 
0011D00094000000,2539 ALLEQUIPPA ST 
0011D00095000000,1400 FOX CHAPEL RD 
0011D00096000000,1400 FOX CHAPEL RD 
0011D00097000000,511 NORTH ST 
0011D00099000000,511 NORTH ST 
0011D00100000000,511 NORTH ST 
0011D00101000000,12458 BIRTLE AVE 
0011D00102000000,2513 ALLEQUIPPA ST 
0011D00103000000,2511 ALLEQUIPPA ST 
0011D00107000000,10204 FAWN CT 
0011D00110000000,414 GRANT ST RM 200
0011D00111000000,414 GRANT ST RM 200
0011D00113000000,414 GRANT ST RM 200
0011D00114000000,414 GRANT ST RM 200
0011D00117000000,414 GRANT ST RM 200
0011D00119000000,2452 WALKERS GLEN LN 
0011D00120000000,28 SEINE WAY 
0011D00122000000,  
0011D00123000000,1108 OAK AVE 
0011D00124000000,1108 OAK AVE 
0011D00125000000,1108 OAK AVE 
0011D00126000000,1108 OAK AVE 
0011D00127000000,2514 WYANDOTTE ST 
0011D00128000000,2514 WYANDOTTE ST 
0011D00129000000,414 GRANT ST RM 200
0011D00131000000,414 GRANT ST RM 200
0011D00136000000,4800 STANTON AVE 
0011D00137000000,4800 STANTON AVE 
0011D00138000000,771 WEST END AVE 
0011D00139000000,1001 N FRANKLIN ST 
0011D00140000000,1001 N FRANKLIN ST 
0011D00143000000,1001 N FRANKLIN ST 
0011D00144000000,414 GRANT ST RM 200
0011D00145000000,414 GRANT ST RM 200
0011D00146000000,414 GRANT ST RM 200
0011D00147000000,414 GRANT ST RM 200
0011D00149000000,414 GRANT ST RM 200
0011D00150000000,414 GRANT ST RM 200
0011D00151000000,414 GRANT ST RM 200
0011D00154000000,542 FORBES AVE RM 347
0011D00160000000,235 ATWOOD ST 
0011D00167000000,2898 BANKSVILLE RD 
0011D00180000000,235 ATWOOD ST 
0011D00190000000,150 MOUNT VERNON ST STE 500
0011D00195000000,200 ROSS ST FL 9
0011D00207000000,200 ROSS ST FL 9
0011D00215000000,200 ROSS ST FL 9
0011D00300000000,200 ROSS ST FL 9
0011D00310000000,200 ROSS ST FL 9
0011D00320000000,200 ROSS ST FL 9
0011D00330000000,209 WHITRIDGE ST 
0011D00340000000,200 ROSS ST FL 9
0011D00341000000,213 WHITRIDGE ST 
0011D00342000000,211 WHITRIDGE ST 
0011D00343000000,1618 SETTLERS DR 
0011D00344000000,1124 RURAL RIDGE DR 
0011D00345000000,1426 N SHEVLIN CT 
0011D00346000000,203 WHITRIDGE ST 
0011D00347000000,201 WHITRIDGE ST 
0011D00350000000,200 ROSS ST FL 9
0011D00360000000,200 ROSS ST FL 9
0011D00400000000,200 ROSS ST FL 9
0011G00091000000,414 GRANT ST RM 200
0011G00092000000,414 GRANT ST RM 200
0011G00093000000,414 GRANT ST RM 200
0011G00095000000,414 GRANT ST RM 200
0011G00096000000,414 GRANT ST RM 200
0011G00097000000,414 GRANT ST RM 200
0011G00098000002,542 FORBES AVE RM 347
0011G00101000000,414 GRANT ST RM 200
0011G00102000000,414 GRANT ST RM 200
0011G00103000000,414 GRANT ST RM 200
0011G00104000000,414 GRANT ST RM 200
0011G00106000000,414 GRANT ST RM 200
0011G00108000000,414 GRANT ST RM 200
